sample_id,cab_gate,mix_gate,cab_mean_l1_from_uniform,cab_mean_max_abs_from_uniform,cab_mean_kl_from_uniform,cab_mean_one_minus_entropy,mix_l1_from_uniform,mix_max_abs_from_uniform,mix_kl_from_uniform,mix_one_minus_entropy,cab_head_best_idx,cab_head_best_score
88,0.5239022374153137,1.0,0.028699252754449844,0.009593799710273743,0.0004320938789627556,0.0003116935734793769,0.006075859069824219,0.0018889307975769043,1.869262641948237e-05,1.3498780879472871e-05,2,0.02120383354655079
89,0.5239022374153137,1.0,0.031352151185274124,0.009890556335449219,0.0005082377263691384,0.00036661974900303873,0.00558573380112648,0.0017166733741760254,1.6023513174610057e-05,1.1547345626472527e-05,2,0.022702132296471826
90,0.5239022374153137,1.0,0.028469011187553406,0.009200245141983032,0.0004217482147829217,0.00030421212782430485,0.0055389925837516785,0.001671433448791504,1.5587629409824944e-05,1.1221746082673567e-05,2,0.021056432966270147
91,0.5239022374153137,1.0,0.02851484715938568,0.009487003087997437,0.000426225829054906,0.000307456944938167,0.005551811307668686,0.001817271113395691,1.5854882237655856e-05,1.1418253537565093e-05,2,0.021360135701622526
92,0.5239022374153137,1.0,0.027729369699954987,0.009331494569778442,0.00040278569524679407,0.00029054101195616355,0.004954282194375992,0.0015528053045272827,1.2604542181537178e-05,9.095980539330917e-06,2,0.021666818039035293
93,0.5239022374153137,1.0,0.027375303208827972,0.00916290283203125,0.00039339805693499653,0.00028379906465955673,0.005638644099235535,0.0019196420907974243,1.6455014049453784e-05,1.1869783583501325e-05,2,0.02068457978689868
94,0.5239022374153137,1.0,0.02808961644768715,0.009448230266571045,0.0004133507603144475,0.00029815837015584323,0.00509382039308548,0.0017196834087371826,1.3359537843768876e-05,9.659221239688431e-06,2,0.02063657706873847
95,0.5239022374153137,1.0,0.027705390006303787,0.009243696928024292,0.0004033332773164455,0.00029094718479527604,0.005154889076948166,0.001954019069671631,1.5127973410127574e-05,1.0908800818387743e-05,2,0.019716417656443982
96,0.5239022374153137,1.0,0.023588232696056366,0.007648587226867676,0.0002939646090484064,0.00021204319125497917,0.004737779498100281,0.001860097050666809,1.31526459774951e-05,9.472727402010106e-06,2,0.01690706486926498
97,0.5239022374153137,1.0,0.02123085781931877,0.007459402084350586,0.00024047403002917247,0.00017346162000261844,0.0045091621577739716,0.0021094530820846558,1.5383173006097314e-05,1.1092888414165891e-05,2,0.015526656858692693
98,0.5239022374153137,1.0,0.020091086626052856,0.006534159183502197,0.00021117041616727707,0.00015231235493232131,0.0037970691919326782,0.002011612057685852,1.3516424138296781e-05,9.75003903749827e-06,2,0.014124814290291346
